USD|9925.00|9625.00
SGD|8000.82|7900.82
HKD|1265.80|1250.20
CHF|10704.10|10347.10
GBP|15765.05|15230.05
AUD|10510.70|10153.70
JPY|112.91|108.49
SEK|1533.00|1472.90
DKK|1785.10|1712.10
CAD|10042.35|9688.35
EUR|13234.00|12805.00
SAR|2656.20|2557.20
NZD|8403.80|8091.80
CNY|1597.60|1546.90
remotelastupdate|23 Jan 2013 / 16:19 WIB
